customer,cluster,cluster_label,cluster_profile
0,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
1,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
2,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
3,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
4,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
5,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
6,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
9,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
10,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
11,1,New Parents,"Baby%, Drinks%, Home%"
12,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
13,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
14,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
15,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
16,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
17,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
18,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
19,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
20,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
21,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
22,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
23,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
24,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
25,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
26,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
27,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
28,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
29,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
30,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
31,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
32,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
33,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
34,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
35,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
36,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
37,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
38,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
40,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
41,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
42,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
43,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
44,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
45,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
46,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
47,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
48,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
49,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
50,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
51,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
52,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
53,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
54,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
55,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
56,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
57,1,New Parents,"Baby%, Drinks%, Home%"
58,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
59,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
60,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
61,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
62,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
63,1,New Parents,"Baby%, Drinks%, Home%"
64,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
65,1,New Parents,"Baby%, Drinks%, Home%"
66,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
67,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
68,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
69,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
70,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
71,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
73,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
74,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
75,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
76,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
77,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
78,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
79,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
80,1,New Parents,"Baby%, Drinks%, Home%"
81,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
82,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
83,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
84,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
85,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
86,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
87,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
88,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
89,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
90,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
91,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
92,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
93,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
94,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
95,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
96,1,New Parents,"Baby%, Drinks%, Home%"
97,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
98,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
99,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
100,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
101,1,New Parents,"Baby%, Drinks%, Home%"
102,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
103,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
104,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
105,1,New Parents,"Baby%, Drinks%, Home%"
106,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
107,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
108,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
109,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
110,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
111,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
112,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
113,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
114,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
116,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
117,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
118,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
119,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
120,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
121,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
122,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
123,1,New Parents,"Baby%, Drinks%, Home%"
124,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
125,1,New Parents,"Baby%, Drinks%, Home%"
126,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
127,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
128,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
129,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
130,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
131,1,New Parents,"Baby%, Drinks%, Home%"
132,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
133,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
134,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
135,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
136,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
138,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
140,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
141,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
142,1,New Parents,"Baby%, Drinks%, Home%"
143,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
144,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
145,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
146,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
147,1,New Parents,"Baby%, Drinks%, Home%"
148,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
149,1,New Parents,"Baby%, Drinks%, Home%"
151,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
152,1,New Parents,"Baby%, Drinks%, Home%"
153,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
154,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
155,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
156,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
157,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
158,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
159,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
160,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
161,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
162,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
163,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
164,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
165,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
166,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
167,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
168,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
169,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
170,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
171,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
172,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
173,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
174,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
175,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
176,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
177,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
178,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
179,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
