customer,cluster,cluster_label
0,3,Drinks & Fresh Regulars & Food
1,3,Drinks & Fresh Regulars & Food
2,3,Drinks & Fresh Regulars & Food
3,3,Drinks & Fresh Regulars & Food
4,3,Drinks & Fresh Regulars & Food
5,0,Home Decorators & Drinks & Food
6,3,Drinks & Fresh Regulars & Food
7,3,Drinks & Fresh Regulars & Food
8,3,Drinks & Fresh Regulars & Food
9,3,Drinks & Fresh Regulars & Food
10,0,Home Decorators & Drinks & Food
11,1,New Parents & Drinks & Home Decorators
12,3,Drinks & Fresh Regulars & Food
13,3,Drinks & Fresh Regulars & Food
14,3,Drinks & Fresh Regulars & Food
15,0,Home Decorators & Drinks & Food
16,3,Drinks & Fresh Regulars & Food
17,3,Drinks & Fresh Regulars & Food
18,3,Drinks & Fresh Regulars & Food
19,3,Drinks & Fresh Regulars & Food
20,3,Drinks & Fresh Regulars & Food
21,0,Home Decorators & Drinks & Food
22,3,Drinks & Fresh Regulars & Food
23,3,Drinks & Fresh Regulars & Food
24,2,Food & Drinks & Home Decorators
25,3,Drinks & Fresh Regulars & Food
26,0,Home Decorators & Drinks & Food
27,3,Drinks & Fresh Regulars & Food
28,0,Home Decorators & Drinks & Food
29,3,Drinks & Fresh Regulars & Food
30,2,Food & Drinks & Home Decorators
31,3,Drinks & Fresh Regulars & Food
32,3,Drinks & Fresh Regulars & Food
33,3,Drinks & Fresh Regulars & Food
34,3,Drinks & Fresh Regulars & Food
35,0,Home Decorators & Drinks & Food
36,0,Home Decorators & Drinks & Food
37,0,Home Decorators & Drinks & Food
38,3,Drinks & Fresh Regulars & Food
40,3,Drinks & Fresh Regulars & Food
41,3,Drinks & Fresh Regulars & Food
42,3,Drinks & Fresh Regulars & Food
43,0,Home Decorators & Drinks & Food
44,2,Food & Drinks & Home Decorators
45,3,Drinks & Fresh Regulars & Food
46,0,Home Decorators & Drinks & Food
47,3,Drinks & Fresh Regulars & Food
48,3,Drinks & Fresh Regulars & Food
49,0,Home Decorators & Drinks & Food
50,3,Drinks & Fresh Regulars & Food
51,3,Drinks & Fresh Regulars & Food
52,0,Home Decorators & Drinks & Food
53,3,Drinks & Fresh Regulars & Food
54,3,Drinks & Fresh Regulars & Food
55,3,Drinks & Fresh Regulars & Food
56,3,Drinks & Fresh Regulars & Food
57,1,New Parents & Drinks & Home Decorators
58,3,Drinks & Fresh Regulars & Food
59,0,Home Decorators & Drinks & Food
60,3,Drinks & Fresh Regulars & Food
61,3,Drinks & Fresh Regulars & Food
62,0,Home Decorators & Drinks & Food
63,1,New Parents & Drinks & Home Decorators
64,0,Home Decorators & Drinks & Food
65,1,New Parents & Drinks & Home Decorators
66,0,Home Decorators & Drinks & Food
67,3,Drinks & Fresh Regulars & Food
68,2,Food & Drinks & Home Decorators
69,3,Drinks & Fresh Regulars & Food
70,3,Drinks & Fresh Regulars & Food
71,3,Drinks & Fresh Regulars & Food
73,2,Food & Drinks & Home Decorators
74,3,Drinks & Fresh Regulars & Food
75,3,Drinks & Fresh Regulars & Food
76,0,Home Decorators & Drinks & Food
77,0,Home Decorators & Drinks & Food
78,3,Drinks & Fresh Regulars & Food
79,2,Food & Drinks & Home Decorators
80,1,New Parents & Drinks & Home Decorators
81,3,Drinks & Fresh Regulars & Food
82,3,Drinks & Fresh Regulars & Food
83,0,Home Decorators & Drinks & Food
84,3,Drinks & Fresh Regulars & Food
85,3,Drinks & Fresh Regulars & Food
86,3,Drinks & Fresh Regulars & Food
